Num_document;Reference;Description;PU_HT;Quantite;Prix_Total_HT
BC25-1;VP;Vide Poche en verre sur pied en cuivre martelé;140.0;15;2100.0
BC25-1;BON;Bonbonnière;190.0;5;950.0
BC25-1;PR;Présentoir en verre sur pied en cuivre martelé;140.0;20;2800.0
