source;product_id;product_name;price;currency;categories;product_url;image_url;scrape_date,,,,
Kalys;;Sélection verre à pied craquelé Bleu Foncé;185.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/selection-verre-a-pied-craquele-bleu-fonce/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201600%201600'%2F%3E;04:17.3,,
Kalys;;La carafe KARA Bleu Foncé;65.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/la-carafe-kara-bleu-fonce/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202560%202560'%2F%3E;04:17.3,,
Kalys;;Sélection craquelé Bleu Foncé;99.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/selection-craquele-bleu-fonce/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:17.3,,
Kalys;;Panier A Linge Noja nature/marron;145.000TND;TND;paniers-et-trousses, rangements;https://www.kalys-designstore.com/produit/panier-a-linge-noja-nature-marron/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202560%202560'%2F%3E;04:17.3,,
Kalys;;Panier A Linge Noja Nature;145.000TND;TND;paniers-et-trousses, rangements;https://www.kalys-designstore.com/produit/panier-a-linge-noja-nature/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202560%202560'%2F%3E;04:17.3,,
Kalys;;Panier A Linge Noja;145.000TND;TND;paniers-et-trousses, rangements;https://www.kalys-designstore.com/produit/panier-a-linge/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20768%20768'%2F%3E;04:17.3,,
Kalys;;Série de 6 Gobelets Foundouk Bleu;87.000TND;TND;art-de-la-table, assiettes-et-plats, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/serie-de-6-gobelets-foundouk-bleu/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:17.3,
Kalys;;La grande Tortue Blanche;55.000TND;TND;mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/tortue-blanche/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202389%202389'%2F%3E;04:17.3,,,
Kalys;;La grande Tortue Noire;55.000TND;TND;mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/tortue-noire-g/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202389%202389'%2F%3E;04:17.3,,,
Kalys;;Poupée Ommi B;80.000TND;TND;mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/poupee-ommi-gb/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201700%201700'%2F%3E;04:17.3,,,
